,job,education,contact
1003,entrepreneur,tertiary,unknown
1004,blue-collar,secondary,cellular
1005,management,tertiary,cellular
1006,management,tertiary,cellular
1007,technician,secondary,unknown
1008,management,tertiary,unknown
1009,management,tertiary,unknown
1010,student,secondary,cellular
1011,entrepreneur,primary,unknown
1012,blue-collar,secondary,unknown
1013,management,tertiary,cellular
1014,admin.,secondary,cellular
1015,retired,secondary,unknown
1016,blue-collar,secondary,unknown
1017,blue-collar,secondary,cellular
1018,retired,secondary,unknown
1019,retired,secondary,cellular
1020,technician,secondary,cellular
1021,admin.,secondary,unknown
1022,blue-collar,secondary,unknown
1023,admin.,tertiary,unknown
1024,blue-collar,secondary,unknown
1025,retired,secondary,telephone
1026,admin.,secondary,unknown
1027,housemaid,secondary,cellular
1028,admin.,secondary,unknown
1029,technician,secondary,cellular
1030,management,tertiary,cellular
1031,retired,primary,unknown
1032,management,primary,unknown
1033,technician,secondary,cellular
1034,admin.,unknown,cellular
1035,admin.,secondary,cellular
1036,technician,secondary,unknown
1037,management,tertiary,unknown
1038,management,tertiary,unknown
1039,management,secondary,cellular
1040,blue-collar,secondary,cellular
1041,admin.,secondary,telephone
1042,admin.,secondary,cellular
1043,blue-collar,secondary,cellular
1044,unemployed,tertiary,cellular
1045,management,tertiary,cellular
1046,retired,primary,cellular
1047,blue-collar,secondary,cellular
1048,services,secondary,cellular
1049,services,secondary,cellular
1050,blue-collar,secondary,unknown
1051,blue-collar,secondary,unknown
1052,admin.,secondary,cellular
1053,blue-collar,secondary,cellular
1054,services,secondary,cellular
1055,management,tertiary,cellular
1056,entrepreneur,secondary,telephone
1057,management,tertiary,cellular
1058,management,tertiary,cellular
1059,retired,primary,telephone
1060,management,tertiary,cellular
1061,services,secondary,cellular
1062,technician,secondary,unknown
1063,blue-collar,primary,unknown
1064,services,secondary,unknown
1065,unemployed,tertiary,cellular
1066,technician,secondary,cellular
1067,management,secondary,cellular
1068,admin.,secondary,unknown
1069,technician,unknown,cellular
1070,blue-collar,secondary,cellular
1071,blue-collar,secondary,cellular
1072,housemaid,secondary,unknown
1073,management,tertiary,cellular
1074,technician,tertiary,unknown
1075,unemployed,tertiary,unknown
1076,unknown,secondary,cellular
1077,admin.,tertiary,cellular
1078,technician,tertiary,cellular
1079,admin.,secondary,cellular
1080,blue-collar,secondary,unknown
1081,admin.,secondary,cellular
1082,housemaid,primary,cellular
1083,housemaid,primary,cellular
1084,services,secondary,unknown
1085,blue-collar,secondary,cellular
1086,self-employed,secondary,cellular
1087,self-employed,tertiary,cellular
1088,management,tertiary,cellular
1089,services,primary,cellular
1090,blue-collar,primary,unknown
1091,blue-collar,primary,cellular
1092,technician,secondary,cellular
1093,management,tertiary,cellular
1094,technician,tertiary,cellular
1095,technician,secondary,unknown
1096,technician,tertiary,cellular
1097,management,tertiary,cellular
1098,technician,secondary,cellular
1099,housemaid,primary,unknown
1100,management,tertiary,cellular
1101,management,tertiary,cellular
1102,management,tertiary,cellular
1103,blue-collar,unknown,telephone
1104,blue-collar,primary,cellular
1105,management,tertiary,cellular
1106,blue-collar,secondary,unknown
1107,blue-collar,secondary,cellular
1108,management,tertiary,cellular
1109,technician,secondary,cellular
1110,blue-collar,primary,cellular
1111,technician,secondary,cellular
1112,technician,secondary,cellular
1113,technician,secondary,cellular
1114,technician,secondary,cellular
1115,admin.,secondary,cellular
1116,management,tertiary,unknown
1117,technician,tertiary,cellular
1118,retired,secondary,unknown
1119,management,tertiary,telephone
1120,entrepreneur,secondary,cellular
1121,entrepreneur,tertiary,unknown
1122,technician,tertiary,cellular
1123,technician,tertiary,cellular
1124,technician,unknown,cellular
1125,blue-collar,secondary,unknown
1126,retired,secondary,cellular
1127,management,unknown,cellular
1128,technician,secondary,cellular
1129,management,tertiary,cellular
1130,management,tertiary,cellular
1131,admin.,secondary,cellular
1132,management,tertiary,cellular
1133,services,secondary,cellular
1134,blue-collar,primary,cellular
1135,retired,tertiary,unknown
1136,services,secondary,cellular
1137,blue-collar,secondary,unknown
1138,technician,secondary,cellular
1139,entrepreneur,primary,unknown
1140,management,tertiary,unknown
1141,technician,secondary,unknown
1142,management,tertiary,cellular
1143,housemaid,primary,cellular
1144,management,tertiary,cellular
1145,self-employed,primary,telephone
1146,management,tertiary,cellular
1147,blue-collar,secondary,cellular
1148,management,tertiary,cellular
1149,retired,secondary,unknown
1150,technician,secondary,cellular
1151,admin.,secondary,cellular
1152,admin.,secondary,cellular
1153,management,tertiary,telephone
1154,admin.,secondary,cellular
1155,technician,tertiary,cellular
1156,blue-collar,secondary,unknown
1157,blue-collar,unknown,cellular
1158,management,tertiary,cellular
1159,management,tertiary,cellular
1160,blue-collar,secondary,unknown
1161,unemployed,tertiary,cellular
1162,services,secondary,unknown
1163,unemployed,secondary,cellular
1164,self-employed,tertiary,cellular
1165,blue-collar,secondary,cellular
1166,technician,tertiary,cellular
1167,blue-collar,secondary,unknown
1168,management,tertiary,unknown
1169,admin.,secondary,cellular
1170,management,tertiary,unknown
1171,admin.,secondary,cellular
1172,blue-collar,secondary,unknown
1173,technician,secondary,cellular
1174,management,tertiary,unknown
1175,housemaid,primary,unknown
1176,management,tertiary,cellular
1177,self-employed,tertiary,cellular
1178,blue-collar,secondary,cellular
1179,management,tertiary,cellular
1180,technician,tertiary,cellular
1181,services,secondary,cellular
1182,management,tertiary,unknown
1183,self-employed,secondary,unknown
1184,technician,secondary,cellular
1185,admin.,secondary,unknown
1186,technician,tertiary,cellular
1187,technician,secondary,cellular
1188,blue-collar,primary,unknown
1189,technician,secondary,cellular
1190,retired,tertiary,unknown
1191,blue-collar,secondary,cellular
1192,entrepreneur,secondary,cellular
1193,blue-collar,secondary,cellular
1194,management,secondary,cellular
1195,self-employed,tertiary,cellular
1196,blue-collar,primary,telephone
1197,management,tertiary,telephone
1198,technician,secondary,cellular
1199,management,tertiary,cellular
1200,self-employed,secondary,unknown
1201,technician,secondary,cellular
1202,services,secondary,cellular
1203,retired,primary,unknown
1204,entrepreneur,tertiary,cellular
1205,blue-collar,unknown,cellular
1206,management,tertiary,cellular
1207,entrepreneur,primary,unknown
1208,management,tertiary,cellular
1209,retired,secondary,cellular
1210,admin.,secondary,cellular
1211,admin.,secondary,cellular
1212,management,tertiary,cellular
1213,self-employed,secondary,cellular
1214,services,secondary,unknown
1215,technician,secondary,cellular
1216,management,tertiary,cellular
1217,blue-collar,primary,unknown
1218,unknown,unknown,unknown
1219,blue-collar,primary,telephone
1220,admin.,tertiary,cellular
1221,self-employed,secondary,cellular
1222,admin.,secondary,cellular
1223,management,tertiary,unknown
1224,services,secondary,unknown
1225,blue-collar,secondary,cellular
1226,admin.,secondary,cellular
1227,blue-collar,secondary,unknown
1228,admin.,secondary,cellular
1229,blue-collar,primary,unknown
1230,retired,secondary,cellular
1231,services,secondary,cellular
1232,technician,secondary,unknown
1233,blue-collar,secondary,unknown
1234,management,tertiary,unknown
1235,services,secondary,cellular
1236,admin.,secondary,cellular
1237,admin.,primary,cellular
1238,blue-collar,primary,cellular
1239,blue-collar,secondary,cellular
1240,services,secondary,cellular
1241,student,unknown,cellular
1242,blue-collar,primary,cellular
1243,retired,primary,cellular
1244,entrepreneur,tertiary,cellular
1245,admin.,secondary,cellular
1246,management,tertiary,cellular
1247,management,tertiary,cellular
1248,services,secondary,cellular
1249,blue-collar,primary,cellular
1250,management,secondary,unknown
1251,admin.,secondary,cellular
1252,entrepreneur,secondary,cellular
1253,entrepreneur,secondary,unknown
1254,unemployed,primary,cellular
1255,technician,secondary,cellular
1256,services,secondary,unknown
1257,blue-collar,primary,unknown
1258,blue-collar,secondary,cellular
1259,services,secondary,cellular
1260,services,secondary,cellular
1261,blue-collar,primary,telephone
1262,blue-collar,primary,cellular
1263,technician,secondary,unknown
1264,unemployed,primary,cellular
1265,unemployed,tertiary,cellular
1266,unknown,unknown,cellular
1267,unemployed,secondary,cellular
1268,admin.,secondary,cellular
1269,technician,secondary,unknown
1270,admin.,secondary,unknown
1271,blue-collar,secondary,unknown
1272,technician,secondary,cellular
1273,services,secondary,unknown
1274,blue-collar,primary,cellular
1275,blue-collar,secondary,cellular
1276,management,tertiary,cellular
1277,admin.,secondary,cellular
1278,blue-collar,secondary,unknown
1279,management,tertiary,cellular
1280,technician,tertiary,unknown
1281,entrepreneur,primary,cellular
1282,blue-collar,primary,unknown
1283,admin.,secondary,cellular
1284,blue-collar,primary,unknown
1285,services,secondary,cellular
1286,management,tertiary,telephone
1287,management,tertiary,cellular
1288,blue-collar,secondary,unknown
1289,admin.,primary,unknown
1290,blue-collar,primary,cellular
1291,technician,secondary,cellular
1292,technician,secondary,telephone
1293,management,tertiary,unknown
1294,entrepreneur,unknown,unknown
1295,management,tertiary,cellular
1296,entrepreneur,secondary,unknown
1297,management,tertiary,cellular
1298,student,secondary,cellular
1299,blue-collar,secondary,unknown
1300,retired,secondary,cellular
1301,management,tertiary,unknown
1302,blue-collar,secondary,unknown
1303,management,unknown,cellular
1304,entrepreneur,tertiary,unknown
1305,blue-collar,primary,unknown
1306,services,secondary,cellular
1307,blue-collar,secondary,unknown
1308,technician,tertiary,telephone
1309,management,secondary,cellular
1310,student,unknown,unknown
1311,services,secondary,cellular
1312,retired,secondary,telephone
1313,management,tertiary,unknown
1314,services,primary,unknown
1315,blue-collar,tertiary,unknown
1316,management,tertiary,cellular
1317,self-employed,secondary,cellular
1318,technician,secondary,cellular
1319,management,secondary,cellular
1320,management,tertiary,telephone
1321,services,secondary,cellular
1322,blue-collar,secondary,cellular
1323,blue-collar,primary,cellular
1324,entrepreneur,tertiary,cellular
1325,management,tertiary,cellular
1326,services,unknown,unknown
1327,blue-collar,primary,telephone
1328,management,tertiary,unknown
1329,admin.,secondary,cellular
1330,blue-collar,secondary,cellular
1331,self-employed,secondary,cellular
1332,admin.,secondary,cellular
1333,technician,secondary,unknown
1334,management,tertiary,unknown
1335,blue-collar,primary,unknown
1336,blue-collar,secondary,cellular
1337,management,tertiary,cellular
1338,services,secondary,cellular
1339,technician,tertiary,cellular
1340,technician,secondary,cellular
1341,services,secondary,unknown
1342,admin.,secondary,cellular
1343,technician,secondary,unknown
1344,management,secondary,cellular
1345,management,tertiary,cellular
1346,admin.,secondary,cellular
1347,self-employed,tertiary,unknown
1348,management,tertiary,cellular
1349,retired,primary,telephone
1350,services,primary,unknown
1351,management,tertiary,cellular
1352,student,secondary,telephone
1353,technician,tertiary,cellular
1354,blue-collar,primary,cellular
1355,admin.,secondary,cellular
1356,management,tertiary,cellular
1357,admin.,secondary,cellular
1358,technician,secondary,cellular
1359,housemaid,primary,cellular
1360,technician,secondary,cellular
1361,admin.,tertiary,cellular
1362,services,secondary,unknown
1363,self-employed,tertiary,unknown
1364,management,tertiary,cellular
1365,blue-collar,primary,cellular
1366,management,tertiary,cellular
1367,technician,secondary,cellular
1368,self-employed,tertiary,unknown
1369,retired,unknown,cellular
1370,technician,secondary,unknown
1371,technician,secondary,cellular
1372,technician,tertiary,unknown
1373,blue-collar,primary,cellular
1374,self-employed,secondary,cellular
1375,technician,secondary,unknown
1376,management,tertiary,cellular
1377,blue-collar,primary,cellular
1378,blue-collar,primary,cellular
1379,admin.,secondary,cellular
1380,blue-collar,secondary,cellular
1381,services,secondary,cellular
1382,admin.,secondary,cellular
1383,management,tertiary,unknown
1384,blue-collar,primary,unknown
1385,admin.,secondary,unknown
1386,services,secondary,cellular
1387,management,tertiary,cellular
1388,services,secondary,telephone
1389,management,tertiary,cellular
1390,blue-collar,unknown,unknown
1391,services,secondary,telephone
1392,blue-collar,secondary,unknown
1393,retired,primary,cellular
1394,technician,secondary,unknown
1395,technician,tertiary,cellular
1396,blue-collar,secondary,unknown
1397,blue-collar,secondary,unknown
1398,technician,secondary,cellular
1399,technician,tertiary,cellular
1400,technician,secondary,telephone
1401,management,unknown,telephone
1402,management,tertiary,cellular
1403,blue-collar,secondary,cellular
1404,management,tertiary,cellular
1405,blue-collar,primary,cellular
1406,admin.,secondary,unknown
1407,unemployed,tertiary,unknown
1408,blue-collar,unknown,cellular
1409,blue-collar,secondary,unknown
1410,technician,secondary,unknown
1411,blue-collar,secondary,cellular
1412,admin.,unknown,cellular
1413,blue-collar,primary,cellular
1414,blue-collar,secondary,unknown
1415,retired,primary,cellular
1416,blue-collar,secondary,unknown
1417,blue-collar,primary,unknown
1418,services,secondary,cellular
1419,management,tertiary,cellular
1420,technician,tertiary,cellular
1421,admin.,secondary,cellular
1422,retired,secondary,telephone
1423,admin.,secondary,unknown
1424,student,tertiary,cellular
1425,management,tertiary,cellular
1426,entrepreneur,secondary,cellular
1427,self-employed,secondary,unknown
1428,services,secondary,cellular
1429,blue-collar,primary,unknown
1430,blue-collar,secondary,unknown
1431,retired,secondary,unknown
1432,unknown,primary,cellular
1433,blue-collar,secondary,unknown
1434,admin.,secondary,cellular
1435,retired,secondary,telephone
1436,entrepreneur,tertiary,cellular
1437,retired,tertiary,cellular
1438,retired,primary,telephone
1439,blue-collar,secondary,unknown
1440,housemaid,primary,unknown
1441,unknown,unknown,cellular
1442,retired,primary,cellular
1443,technician,secondary,cellular
1444,technician,primary,cellular
1445,self-employed,secondary,cellular
1446,technician,tertiary,unknown
1447,admin.,secondary,cellular
1448,blue-collar,secondary,unknown
1449,management,tertiary,cellular
1450,self-employed,secondary,cellular
1451,services,secondary,cellular
1452,technician,secondary,cellular
1453,admin.,secondary,cellular
1454,services,primary,unknown
1455,technician,tertiary,cellular
1456,admin.,secondary,unknown
1457,management,tertiary,cellular
1458,management,tertiary,cellular
1459,technician,secondary,cellular
1460,technician,unknown,cellular
1461,technician,tertiary,cellular
1462,unknown,secondary,cellular
1463,technician,secondary,unknown
1464,blue-collar,secondary,cellular
1465,services,secondary,cellular
1466,admin.,tertiary,cellular
1467,services,secondary,cellular
1468,management,tertiary,cellular
1469,technician,secondary,cellular
1470,blue-collar,primary,cellular
1471,technician,tertiary,cellular
1472,services,secondary,telephone
1473,blue-collar,secondary,unknown
1474,admin.,secondary,cellular
1475,management,tertiary,unknown
1476,blue-collar,secondary,cellular
1477,services,secondary,unknown
1478,technician,tertiary,cellular
1479,blue-collar,primary,cellular
1480,self-employed,tertiary,cellular
1481,management,secondary,unknown
1482,blue-collar,secondary,cellular
1483,technician,tertiary,unknown
1484,entrepreneur,primary,unknown
1485,technician,secondary,cellular
1486,technician,secondary,unknown
1487,entrepreneur,primary,cellular
1488,management,tertiary,cellular
1489,unknown,tertiary,telephone
1490,admin.,secondary,cellular
1491,technician,secondary,cellular
1492,technician,tertiary,cellular
1493,technician,tertiary,cellular
1494,services,secondary,cellular
1495,blue-collar,secondary,cellular
1496,unemployed,secondary,cellular
1497,retired,tertiary,cellular
1498,blue-collar,primary,telephone
1499,management,tertiary,unknown
1500,services,secondary,cellular
1501,technician,secondary,unknown
1502,admin.,secondary,cellular
1503,retired,secondary,cellular
1504,admin.,secondary,cellular
1505,admin.,secondary,telephone
1506,entrepreneur,secondary,cellular
1507,management,tertiary,telephone
1508,technician,secondary,unknown
1509,admin.,secondary,cellular
1510,technician,secondary,cellular
1511,unemployed,secondary,cellular
1512,admin.,secondary,cellular
1513,blue-collar,secondary,cellular
1514,technician,secondary,cellular
1515,housemaid,primary,telephone
1516,self-employed,tertiary,cellular
1517,unknown,unknown,telephone
1518,technician,secondary,cellular
1519,unemployed,secondary,unknown
1520,management,tertiary,cellular
1521,blue-collar,secondary,cellular
1522,entrepreneur,primary,cellular
1523,technician,secondary,cellular
1524,blue-collar,primary,cellular
1525,blue-collar,unknown,unknown
1526,admin.,secondary,cellular
1527,technician,secondary,unknown
1528,blue-collar,secondary,cellular
1529,management,secondary,cellular
1530,services,secondary,telephone
1531,blue-collar,primary,cellular
1532,technician,secondary,cellular
1533,blue-collar,secondary,unknown
1534,management,tertiary,telephone
1535,services,secondary,cellular
1536,technician,secondary,cellular
1537,management,tertiary,cellular
1538,blue-collar,secondary,telephone
1539,blue-collar,secondary,cellular
1540,admin.,secondary,cellular
1541,self-employed,secondary,cellular
1542,entrepreneur,secondary,cellular
1543,student,unknown,cellular
1544,management,tertiary,cellular
1545,admin.,secondary,telephone
1546,blue-collar,secondary,telephone
1547,entrepreneur,tertiary,cellular
1548,services,unknown,cellular
1549,self-employed,secondary,cellular
1550,blue-collar,secondary,cellular
1551,blue-collar,primary,cellular
1552,management,tertiary,cellular
1553,blue-collar,secondary,cellular
1554,services,secondary,unknown
1555,entrepreneur,tertiary,cellular
1556,management,primary,unknown
1557,student,tertiary,cellular
1558,admin.,secondary,cellular
1559,admin.,secondary,unknown
1560,management,tertiary,cellular
1561,services,unknown,cellular
1562,blue-collar,primary,unknown
1563,entrepreneur,secondary,cellular
1564,blue-collar,unknown,unknown
1565,unemployed,secondary,cellular
1566,entrepreneur,primary,unknown
1567,management,tertiary,cellular
1568,technician,secondary,unknown
1569,unknown,unknown,telephone
1570,management,tertiary,cellular
1571,blue-collar,primary,cellular
1572,blue-collar,secondary,cellular
1573,blue-collar,secondary,telephone
1574,management,unknown,cellular
1575,blue-collar,primary,cellular
1576,management,secondary,cellular
1577,admin.,secondary,cellular
1578,management,tertiary,unknown
1579,management,tertiary,cellular
1580,blue-collar,primary,unknown
1581,technician,tertiary,cellular
1582,blue-collar,primary,telephone
1583,blue-collar,secondary,unknown
1584,services,tertiary,unknown
1585,blue-collar,secondary,cellular
1586,management,tertiary,cellular
1587,admin.,secondary,unknown
1588,management,tertiary,cellular
1589,blue-collar,secondary,unknown
1590,blue-collar,unknown,cellular
1591,retired,secondary,cellular
1592,self-employed,secondary,unknown
1593,services,secondary,cellular
1594,unemployed,secondary,cellular
1595,technician,secondary,cellular
1596,technician,secondary,cellular
1597,self-employed,tertiary,cellular
1598,services,primary,cellular
1599,student,tertiary,cellular
1600,management,secondary,cellular
1601,blue-collar,primary,cellular
1602,admin.,secondary,unknown
1603,technician,unknown,cellular
1604,management,tertiary,cellular
1605,services,secondary,cellular
1606,blue-collar,unknown,unknown
1607,management,tertiary,cellular
1608,blue-collar,primary,unknown
1609,management,secondary,cellular
1610,blue-collar,primary,cellular
1611,management,tertiary,cellular
1612,management,tertiary,unknown
1613,self-employed,primary,unknown
1614,admin.,secondary,unknown
1615,management,tertiary,cellular
1616,retired,primary,cellular
1617,management,tertiary,cellular
1618,blue-collar,primary,cellular
1619,blue-collar,secondary,cellular
1620,blue-collar,primary,cellular
1621,self-employed,secondary,telephone
1622,blue-collar,primary,cellular
1623,blue-collar,primary,cellular
1624,technician,secondary,unknown
1625,services,secondary,cellular
1626,technician,secondary,unknown
1627,blue-collar,secondary,unknown
1628,technician,secondary,cellular
1629,blue-collar,secondary,unknown
1630,management,tertiary,unknown
1631,blue-collar,secondary,cellular
1632,technician,secondary,cellular
1633,blue-collar,primary,cellular
1634,unemployed,secondary,cellular
1635,blue-collar,secondary,cellular
1636,retired,secondary,cellular
1637,blue-collar,primary,unknown
1638,self-employed,tertiary,unknown
1639,entrepreneur,secondary,cellular
1640,management,tertiary,unknown
1641,blue-collar,secondary,cellular
1642,admin.,secondary,cellular
1643,services,secondary,unknown
1644,management,tertiary,cellular
1645,entrepreneur,secondary,cellular
1646,technician,tertiary,cellular
1647,management,tertiary,cellular
1648,unemployed,tertiary,telephone
1649,services,secondary,cellular
1650,admin.,secondary,cellular
1651,blue-collar,primary,cellular
1652,technician,secondary,unknown
1653,blue-collar,primary,cellular
1654,blue-collar,primary,unknown
1655,technician,secondary,cellular
1656,management,tertiary,cellular
1657,admin.,tertiary,cellular
1658,blue-collar,primary,cellular
1659,services,secondary,unknown
1660,services,secondary,unknown
1661,admin.,secondary,cellular
1662,blue-collar,primary,unknown
1663,blue-collar,primary,unknown
1664,blue-collar,secondary,unknown
1665,blue-collar,secondary,unknown
1666,management,tertiary,cellular
1667,blue-collar,secondary,unknown
1668,unemployed,secondary,unknown
1669,management,tertiary,cellular
1670,services,secondary,unknown
1671,blue-collar,primary,unknown
1672,services,unknown,cellular
1673,admin.,secondary,telephone
1674,technician,tertiary,cellular
1675,blue-collar,primary,unknown
1676,admin.,secondary,cellular
1677,self-employed,tertiary,cellular
1678,blue-collar,secondary,cellular
1679,self-employed,secondary,unknown
1680,technician,secondary,cellular
1681,unknown,unknown,cellular
1682,unemployed,tertiary,cellular
1683,admin.,primary,cellular
1684,blue-collar,primary,cellular
1685,services,secondary,cellular
1686,technician,secondary,unknown
1687,technician,secondary,unknown
1688,housemaid,secondary,cellular
1689,management,tertiary,unknown
1690,admin.,secondary,unknown
1691,blue-collar,primary,unknown
1692,management,tertiary,unknown
1693,technician,secondary,cellular
1694,unemployed,tertiary,cellular
1695,admin.,secondary,cellular
1696,management,tertiary,cellular
1697,blue-collar,secondary,cellular
1698,management,tertiary,cellular
1699,technician,unknown,cellular
1700,management,tertiary,cellular
1701,unemployed,secondary,telephone
1702,retired,secondary,unknown
1703,unemployed,secondary,cellular
1704,management,tertiary,cellular
1705,student,secondary,cellular
1706,blue-collar,secondary,cellular
1707,self-employed,secondary,unknown
1708,management,tertiary,cellular
1709,admin.,secondary,cellular
1710,unemployed,primary,unknown
1711,technician,tertiary,cellular
1712,blue-collar,secondary,cellular
1713,blue-collar,secondary,cellular
1714,technician,primary,unknown
1715,admin.,secondary,unknown
1716,technician,primary,unknown
1717,admin.,tertiary,cellular
1718,blue-collar,primary,unknown
1719,management,secondary,cellular
1720,blue-collar,secondary,unknown
1721,retired,secondary,cellular
1722,management,secondary,cellular
1723,blue-collar,primary,unknown
1724,technician,secondary,cellular
1725,student,secondary,cellular
1726,retired,primary,cellular
1727,technician,tertiary,cellular
1728,blue-collar,unknown,unknown
1729,admin.,secondary,cellular
1730,management,tertiary,cellular
1731,retired,secondary,cellular
1732,management,primary,unknown
1733,management,tertiary,cellular
1734,blue-collar,primary,cellular
1735,blue-collar,secondary,cellular
1736,admin.,secondary,cellular
1737,housemaid,secondary,unknown
1738,management,tertiary,cellular
1739,housemaid,primary,telephone
1740,admin.,tertiary,cellular
1741,management,tertiary,cellular
1742,retired,primary,cellular
1743,self-employed,secondary,cellular
1744,services,secondary,cellular
1745,blue-collar,primary,cellular
1746,management,tertiary,cellular
1747,management,tertiary,unknown
1748,admin.,secondary,cellular
1749,technician,tertiary,cellular
1750,housemaid,tertiary,telephone
1751,management,secondary,unknown
1752,services,tertiary,cellular
1753,services,secondary,cellular
1754,management,tertiary,cellular
1755,technician,secondary,unknown
1756,management,tertiary,cellular
1757,admin.,secondary,unknown
1758,blue-collar,primary,cellular
1759,admin.,tertiary,unknown
1760,technician,secondary,cellular
1761,technician,secondary,unknown
1762,self-employed,tertiary,cellular
1763,blue-collar,secondary,cellular
1764,admin.,secondary,cellular
1765,blue-collar,secondary,unknown
1766,technician,secondary,cellular
1767,management,tertiary,cellular
1768,technician,secondary,unknown
1769,self-employed,unknown,unknown
1770,blue-collar,secondary,unknown
1771,management,tertiary,cellular
1772,management,tertiary,unknown
1773,unemployed,unknown,cellular
1774,management,tertiary,cellular
1775,management,tertiary,unknown
1776,management,secondary,cellular
1777,management,unknown,unknown
1778,management,tertiary,cellular
1779,technician,tertiary,cellular
1780,management,tertiary,unknown
1781,management,tertiary,cellular
1782,blue-collar,secondary,unknown
1783,management,tertiary,unknown
1784,blue-collar,secondary,unknown
1785,blue-collar,secondary,cellular
1786,services,secondary,cellular
1787,management,tertiary,unknown
1788,services,secondary,unknown
1789,blue-collar,secondary,unknown
1790,technician,secondary,cellular
1791,admin.,secondary,unknown
1792,services,primary,cellular
1793,admin.,secondary,cellular
1794,admin.,secondary,unknown
1795,admin.,secondary,unknown
1796,management,secondary,cellular
1797,technician,secondary,cellular
1798,technician,tertiary,cellular
1799,technician,tertiary,unknown
1800,entrepreneur,tertiary,unknown
1801,blue-collar,secondary,unknown
1802,services,secondary,unknown
1803,services,secondary,telephone
1804,management,secondary,cellular
1805,retired,tertiary,cellular
1806,management,tertiary,unknown
1807,management,tertiary,cellular
1808,admin.,secondary,cellular
1809,services,unknown,unknown
1810,blue-collar,secondary,cellular
1811,admin.,secondary,cellular
1812,services,secondary,unknown
1813,management,tertiary,cellular
1814,management,tertiary,cellular
1815,technician,secondary,cellular
1816,services,secondary,cellular
1817,blue-collar,secondary,cellular
1818,technician,secondary,cellular
1819,technician,secondary,cellular
1820,admin.,secondary,cellular
1821,housemaid,unknown,cellular
1822,management,tertiary,cellular
1823,technician,secondary,unknown
1824,admin.,secondary,cellular
1825,entrepreneur,primary,telephone
1826,technician,secondary,cellular
1827,management,tertiary,cellular
1828,entrepreneur,secondary,cellular
1829,technician,secondary,unknown
1830,services,secondary,cellular
1831,admin.,tertiary,unknown
1832,services,secondary,cellular
1833,blue-collar,primary,cellular
1834,management,tertiary,cellular
1835,management,tertiary,cellular
1836,blue-collar,primary,cellular
1837,technician,tertiary,cellular
1838,management,secondary,unknown
1839,blue-collar,primary,cellular
1840,technician,secondary,cellular
1841,technician,secondary,unknown
1842,retired,primary,cellular
1843,services,secondary,cellular
1844,management,tertiary,cellular
1845,services,secondary,cellular
1846,self-employed,secondary,cellular
1847,technician,secondary,cellular
1848,blue-collar,primary,cellular
1849,entrepreneur,tertiary,unknown
1850,management,tertiary,cellular
1851,blue-collar,primary,cellular
1852,technician,secondary,unknown
1853,blue-collar,secondary,unknown
1854,management,tertiary,cellular
1855,technician,secondary,cellular
1856,management,tertiary,cellular
1857,services,secondary,unknown
1858,blue-collar,secondary,unknown
1859,blue-collar,secondary,cellular
1860,management,secondary,unknown
1861,services,secondary,cellular
1862,blue-collar,secondary,cellular
1863,admin.,secondary,cellular
1864,admin.,secondary,cellular
1865,management,tertiary,cellular
1866,retired,secondary,telephone
1867,technician,secondary,cellular
1868,management,primary,cellular
1869,management,tertiary,cellular
1870,student,unknown,cellular
1871,services,secondary,cellular
1872,admin.,secondary,cellular
1873,blue-collar,primary,cellular
1874,blue-collar,unknown,cellular
1875,blue-collar,secondary,cellular
1876,blue-collar,primary,cellular
1877,services,secondary,unknown
1878,technician,secondary,unknown
1879,services,secondary,unknown
1880,management,tertiary,cellular
1881,management,tertiary,unknown
1882,technician,secondary,cellular
1883,blue-collar,secondary,cellular
1884,technician,secondary,cellular
1885,technician,tertiary,cellular
1886,technician,secondary,cellular
1887,management,unknown,unknown
1888,blue-collar,secondary,cellular
1889,management,tertiary,telephone
1890,technician,secondary,cellular
1891,management,tertiary,cellular
1892,services,secondary,cellular
1893,technician,secondary,unknown
1894,technician,unknown,unknown
1895,services,secondary,cellular
1896,management,tertiary,cellular
1897,management,tertiary,cellular
1898,management,tertiary,cellular
1899,management,tertiary,cellular
1900,student,unknown,cellular
1901,student,tertiary,unknown
1902,technician,secondary,cellular
1903,retired,secondary,cellular
1904,student,tertiary,cellular
1905,management,tertiary,cellular
1906,blue-collar,primary,unknown
1907,management,tertiary,cellular
1908,technician,secondary,unknown
1909,technician,tertiary,cellular
1910,retired,secondary,cellular
1911,blue-collar,secondary,unknown
1912,blue-collar,secondary,telephone
1913,housemaid,primary,cellular
1914,services,tertiary,cellular
1915,management,tertiary,cellular
1916,entrepreneur,tertiary,cellular
1917,unemployed,primary,cellular
1918,blue-collar,secondary,cellular
1919,admin.,tertiary,cellular
1920,entrepreneur,tertiary,cellular
1921,technician,secondary,unknown
1922,admin.,secondary,cellular
1923,retired,secondary,cellular
1924,technician,secondary,unknown
1925,services,secondary,telephone
1926,technician,secondary,cellular
1927,retired,primary,cellular
1928,student,primary,cellular
1929,unemployed,tertiary,cellular
1930,services,secondary,unknown
1931,blue-collar,secondary,cellular
1932,management,secondary,unknown
1933,blue-collar,primary,telephone
1934,technician,secondary,cellular
1935,entrepreneur,secondary,unknown
1936,management,tertiary,cellular
1937,unemployed,secondary,unknown
1938,self-employed,secondary,unknown
1939,technician,secondary,cellular
